model,id,ano,area,difficulty_score,escolhido,label,acertou,confianca,conf_metodo,conf_app,n_predict
qwen2.5-1.5b,questao_88,2022,CH,0.658649,E,E,True,0.883924,letra,0.811322,4
qwen2.5-1.5b,questao_89,2022,CH,0.395534,A,A,True,0.710762,letra,0.866976,4
qwen2.5-1.5b,questao_91,2022,CN,0.805908,D,D,True,0.367024,letra,0.718543,4
qwen2.5-1.5b,questao_95,2022,CN,0.701665,C,D,False,0.336552,letra,0.66039,4
qwen2.5-1.5b,questao_96,2022,CN,0.925308,C,B,False,0.255301,letra,0.674403,4
qwen2.5-1.5b,questao_97,2022,CN,0.84609,D,E,False,0.402802,letra,0.737791,4
qwen2.5-1.5b,questao_98,2022,CN,0.769436,D,A,False,0.36322,letra,0.662017,4
qwen2.5-1.5b,questao_100,2022,CN,0.687453,E,C,False,0.256807,letra,0.666766,4
qwen2.5-1.5b,questao_101,2022,CN,0.751584,E,A,False,0.307307,letra,0.636185,4
qwen2.5-1.5b,questao_102,2022,CN,0.855588,E,E,True,0.439334,letra,0.705972,4
qwen2.5-1.5b,questao_103,2022,CN,0.812205,B,B,True,0.443102,letra,0.736872,4
qwen2.5-1.5b,questao_106,2022,CN,0.8217,E,E,True,0.446182,letra,0.742472,4
qwen2.5-1.5b,questao_107,2022,CN,0.924185,E,B,False,0.51678,letra,0.787896,4
qwen2.5-1.5b,questao_108,2022,CN,0.916932,E,B,False,0.315466,letra,0.449536,4
qwen2.5-1.5b,questao_109,2022,CN,0.734382,C,C,True,0.460008,letra,0.746474,4
qwen2.5-1.5b,questao_113,2022,CN,0.816675,D,C,False,0.346686,letra,0.457214,4
qwen2.5-1.5b,questao_114,2022,CN,0.809694,E,B,False,0.337652,letra,0.712985,4
qwen2.5-1.5b,questao_115,2022,CN,0.76989,D,D,True,0.256786,letra,0.657069,4
qwen2.5-1.5b,questao_116,2022,CN,0.713107,D,D,True,0.819738,letra,0.808812,4
qwen2.5-1.5b,questao_120,2022,CN,0.733003,E,E,True,0.898897,letra,0.821418,4
qwen2.5-1.5b,questao_121,2022,CN,0.805141,E,A,False,0.266128,letra,0.441989,4
qwen2.5-1.5b,questao_124,2022,CN,0.726318,E,A,False,0.191696,letra,0.26191,4
qwen2.5-1.5b,questao_125,2022,CN,0.889772,D,B,False,0.224886,letra,0.653755,4
qwen2.5-1.5b,questao_126,2022,CN,0.821287,E,C,False,0.297113,letra,0.706374,4
qwen2.5-1.5b,questao_127,2022,CN,0.960534,E,E,True,0.393629,letra,0.297774,4
qwen2.5-1.5b,questao_129,2022,CN,0.833361,E,B,False,0.229779,letra,0.685414,4
qwen2.5-1.5b,questao_130,2022,CN,0.873434,E,E,True,0.263609,letra,0.298581,4
qwen2.5-1.5b,questao_133,2022,CN,0.812293,D,D,True,0.599066,letra,0.785804,4
qwen2.5-1.5b,questao_134,2022,CN,0.867339,D,B,False,0.293604,letra,0.654509,4
qwen2.5-1.5b,questao_135,2022,CN,0.903268,B,A,False,0.290894,letra,0.648552,4
qwen2.5-1.5b,questao_138,2022,MT,0.494005,D,E,False,0.736113,letra,0.573724,4
qwen2.5-1.5b,questao_140,2022,MT,0.656564,E,A,False,0.288816,letra,0.671833,4
qwen2.5-1.5b,questao_141,2022,MT,0.928705,D,E,False,0.218985,letra,0.653877,4
qwen2.5-1.5b,questao_142,2022,MT,0.705689,E,A,False,0.376418,letra,0.73236,4
qwen2.5-1.5b,questao_143,2022,MT,0.930126,E,B,False,0.599528,letra,0.553402,4
qwen2.5-1.5b,questao_144,2022,MT,0.654701,D,D,True,0.421471,letra,0.748286,4
qwen2.5-1.5b,questao_145,2022,MT,0.929411,D,D,True,0.256026,letra,0.446163,4
qwen2.5-1.5b,questao_147,2022,MT,0.868705,E,E,True,0.605623,letra,0.569111,4
qwen2.5-1.5b,questao_149,2022,MT,0.91712,E,D,False,0.410694,letra,0.688245,4
qwen2.5-1.5b,questao_150,2022,MT,0.83816,E,B,False,0.247576,letra,0.491883,4
qwen2.5-1.5b,questao_151,2022,MT,0.90896,D,A,False,0.501292,letra,0.747796,4
qwen2.5-1.5b,questao_152,2022,MT,0.855325,E,A,False,0.206787,letra,0.468653,4
qwen2.5-1.5b,questao_153,2022,MT,0.830057,E,A,False,0.343651,letra,0.51542,4
qwen2.5-1.5b,questao_154,2022,MT,0.91924,B,A,False,0.362625,letra,0.687781,4
qwen2.5-1.5b,questao_158,2022,MT,0.914753,E,C,False,0.5961,letra,0.749155,4
qwen2.5-1.5b,questao_159,2022,MT,0.927055,E,B,False,0.392978,letra,0.495519,4
qwen2.5-1.5b,questao_160,2022,MT,0.917348,D,C,False,0.465279,letra,0.745681,4
qwen2.5-1.5b,questao_161,2022,MT,0.920411,E,C,False,0.256664,letra,0.654121,4
qwen2.5-1.5b,questao_162,2022,MT,0.827346,E,C,False,0.446623,letra,0.690712,4
qwen2.5-1.5b,questao_163,2022,MT,0.897453,E,B,False,0.340364,letra,0.695461,4
qwen2.5-1.5b,questao_164,2022,MT,0.882994,E,C,False,0.498908,letra,0.731718,4
qwen2.5-1.5b,questao_166,2022,MT,0.90478,D,D,True,0.311382,letra,0.677665,4
qwen2.5-1.5b,questao_167,2022,MT,0.901455,D,B,False,0.252088,letra,0.692926,4
qwen2.5-1.5b,questao_169,2022,MT,0.929825,C,E,False,0.241779,letra,0.628693,4
qwen2.5-1.5b,questao_170,2022,MT,0.917987,D,E,False,0.212794,letra,0.630526,4
qwen2.5-1.5b,questao_171,2022,MT,0.988866,D,C,False,0.326728,letra,0.677727,4
qwen2.5-1.5b,questao_172,2022,MT,0.965632,D,B,False,0.191104,letra,0.699829,4
qwen2.5-1.5b,questao_173,2022,MT,0.92066,C,D,False,0.183137,letra,0.462938,4
qwen2.5-1.5b,questao_174,2022,MT,0.872349,C,C,True,0.204657,letra,0.447877,4
qwen2.5-1.5b,questao_175,2022,MT,0.945846,E,A,False,0.198379,letra,0.432793,4
qwen2.5-1.5b,questao_176,2022,MT,0.964467,C,B,False,0.305531,letra,0.699419,4
qwen2.5-1.5b,questao_179,2022,MT,0.99056,E,C,False,0.279636,letra,0.675131,4
qwen2.5-1.5b,questao_01,2023,LC,0.702851,B,B,True,0.684895,letra,0.824928,4
qwen2.5-1.5b,questao_02,2023,LC,0.610299,D,D,True,0.72641,letra,0.851819,4
qwen2.5-1.5b,questao_05,2023,LC,0.626231,A,A,True,0.521369,letra,0.777929,4
qwen2.5-1.5b,questao_06,2023,LC,0.712283,A,A,True,0.437692,letra,0.751614,4
qwen2.5-1.5b,questao_08,2023,LC,0.663574,E,E,True,0.467153,letra,0.705718,4
qwen2.5-1.5b,questao_09,2023,LC,0.713591,D,C,False,0.509236,letra,0.647244,4
qwen2.5-1.5b,questao_10,2023,LC,0.631075,B,B,True,0.292804,letra,0.716375,4
qwen2.5-1.5b,questao_11,2023,LC,0.4777,E,B,False,0.528115,letra,0.771571,4
qwen2.5-1.5b,questao_12,2023,LC,0.492278,E,E,True,0.891164,letra,0.87029,4
qwen2.5-1.5b,questao_13,2023,LC,0.431319,A,A,True,0.451975,letra,0.741266,4
qwen2.5-1.5b,questao_14,2023,LC,0.683612,E,A,False,0.547356,letra,0.73985,4
qwen2.5-1.5b,questao_15,2023,LC,0.774123,C,C,True,0.352205,letra,0.456381,4
qwen2.5-1.5b,questao_16,2023,LC,0.502285,A,A,True,0.577321,letra,0.820321,4
qwen2.5-1.5b,questao_17,2023,LC,0.54071,A,A,True,0.395498,letra,0.783241,4
qwen2.5-1.5b,questao_20,2023,LC,0.872112,B,E,False,0.344192,letra,0.687207,4
qwen2.5-1.5b,questao_21,2023,LC,0.602598,E,A,False,0.453838,letra,0.302368,4
qwen2.5-1.5b,questao_22,2023,LC,0.768165,E,C,False,0.47633,letra,0.729418,4
qwen2.5-1.5b,questao_23,2023,LC,0.697223,E,B,False,0.327252,letra,0.658664,4
qwen2.5-1.5b,questao_24,2023,LC,0.920735,E,C,False,0.285305,letra,0.612543,4
qwen2.5-1.5b,questao_25,2023,LC,0.548891,E,A,False,0.237119,letra,0.409862,4
qwen2.5-1.5b,questao_26,2023,LC,0.466988,E,C,False,0.303913,letra,0.627315,4
qwen2.5-1.5b,questao_27,2023,LC,0.562524,C,C,True,0.605988,letra,0.746385,4
qwen2.5-1.5b,questao_28,2023,LC,0.839069,B,C,False,0.658991,letra,0.795542,4
qwen2.5-1.5b,questao_30,2023,LC,0.502227,D,D,True,0.542157,letra,0.758172,4
qwen2.5-1.5b,questao_31,2023,LC,0.868677,D,E,False,0.520772,letra,0.754596,4
qwen2.5-1.5b,questao_32,2023,LC,0.569693,D,D,True,0.625488,letra,0.747546,4
qwen2.5-1.5b,questao_33,2023,LC,0.639932,B,A,False,0.442831,letra,0.735876,4
qwen2.5-1.5b,questao_34,2023,LC,0.644922,D,D,True,0.579926,letra,0.313405,4
qwen2.5-1.5b,questao_35,2023,LC,0.917822,E,B,False,0.269404,letra,0.22807,4
qwen2.5-1.5b,questao_36,2023,LC,0.916246,B,D,False,0.332107,letra,0.722986,4
qwen2.5-1.5b,questao_37,2023,LC,0.484977,B,B,True,0.579707,letra,0.695579,4
qwen2.5-1.5b,questao_38,2023,LC,0.832162,E,E,True,0.678169,letra,0.783784,4
qwen2.5-1.5b,questao_39,2023,LC,0.584071,E,E,True,0.936532,letra,0.638666,4
qwen2.5-1.5b,questao_40,2023,LC,0.38281,D,D,True,0.581067,letra,0.751484,4
qwen2.5-1.5b,questao_41,2023,LC,0.623521,E,D,False,0.262023,letra,0.649927,4
qwen2.5-1.5b,questao_42,2023,LC,0.759427,E,A,False,0.400608,letra,0.474075,4
qwen2.5-1.5b,questao_43,2023,LC,0.627426,C,C,True,0.366267,letra,0.665268,4
qwen2.5-1.5b,questao_44,2023,LC,0.694629,D,C,False,0.326794,letra,0.52664,4
qwen2.5-1.5b,questao_45,2023,LC,0.691122,D,C,False,0.191633,letra,0.675872,4
qwen2.5-1.5b,questao_46,2023,CH,0.349738,E,A,False,0.35852,letra,0.704329,4
qwen2.5-1.5b,questao_47,2023,CH,0.532173,B,B,True,0.749329,letra,0.836998,4
qwen2.5-1.5b,questao_48,2023,CH,0.520209,E,C,False,0.346771,letra,0.703658,4
qwen2.5-1.5b,questao_49,2023,CH,0.566135,D,D,True,0.779074,letra,0.799351,4
qwen2.5-1.5b,questao_50,2023,CH,0.597115,C,C,True,0.40931,letra,0.681629,4
qwen2.5-1.5b,questao_51,2023,CH,0.67026,B,B,True,0.747162,letra,0.840498,4
qwen2.5-1.5b,questao_52,2023,CH,0.57879,D,D,True,0.661942,letra,0.816385,4
qwen2.5-1.5b,questao_55,2023,CH,0.647028,D,D,True,0.714923,letra,0.772942,4
qwen2.5-1.5b,questao_56,2023,CH,0.720858,A,A,True,0.358188,letra,0.63689,4
qwen2.5-1.5b,questao_57,2023,CH,0.661738,E,E,True,0.825968,letra,0.370862,4
qwen2.5-1.5b,questao_58,2023,CH,0.662132,E,A,False,0.851321,letra,0.58289,4
qwen2.5-1.5b,questao_60,2023,CH,0.660226,E,E,True,0.383872,letra,0.448278,4
qwen2.5-1.5b,questao_61,2023,CH,0.76697,E,E,True,0.717763,letra,0.80763,4
qwen2.5-1.5b,questao_62,2023,CH,0.785601,E,C,False,0.446223,letra,0.697899,4
qwen2.5-1.5b,questao_63,2023,CH,0.765914,E,A,False,0.525777,letra,0.706333,4
qwen2.5-1.5b,questao_64,2023,CH,0.694408,E,B,False,0.460202,letra,0.718118,4
qwen2.5-1.5b,questao_65,2023,CH,0.933256,E,A,False,0.35774,letra,0.682099,4
qwen2.5-1.5b,questao_67,2023,CH,0.813103,B,B,True,0.250032,letra,0.670756,4
qwen2.5-1.5b,questao_68,2023,CH,0.826424,E,E,True,0.253139,letra,0.642448,4
qwen2.5-1.5b,questao_69,2023,CH,0.767381,E,A,False,0.44377,letra,0.688069,4
qwen2.5-1.5b,questao_70,2023,CH,0.87822,B,B,True,0.650683,letra,0.811831,4
qwen2.5-1.5b,questao_71,2023,CH,0.80316,E,A,False,0.284118,letra,0.439953,4
qwen2.5-1.5b,questao_72,2023,CH,0.73954,D,D,True,0.838283,letra,0.753147,4
qwen2.5-1.5b,questao_73,2023,CH,0.688151,C,E,False,0.369041,letra,0.703274,4
qwen2.5-1.5b,questao_74,2023,CH,0.677914,B,B,True,0.835059,letra,0.799498,4
qwen2.5-1.5b,questao_75,2023,CH,0.832004,E,A,False,0.633076,letra,0.75516,4
qwen2.5-1.5b,questao_76,2023,CH,0.915215,A,A,True,0.383169,letra,0.731337,4
qwen2.5-1.5b,questao_77,2023,CH,0.623594,B,B,True,0.669839,letra,0.806591,4
qwen2.5-1.5b,questao_78,2023,CH,0.560044,E,C,False,0.445673,letra,0.732185,4
qwen2.5-1.5b,questao_79,2023,CH,0.844646,D,D,True,0.399419,letra,0.697285,4
qwen2.5-1.5b,questao_80,2023,CH,0.683196,D,C,False,0.290392,letra,0.618533,4
qwen2.5-1.5b,questao_81,2023,CH,0.869904,E,A,False,0.434052,letra,0.728986,4
qwen2.5-1.5b,questao_83,2023,CH,0.67049,E,A,False,0.361271,letra,0.573119,4
qwen2.5-1.5b,questao_84,2023,CH,0.639476,D,D,True,0.312771,letra,0.686155,4
qwen2.5-1.5b,questao_85,2023,CH,0.36405,B,C,False,0.321691,letra,0.737581,4
qwen2.5-1.5b,questao_87,2023,CH,0.560997,A,A,True,0.626923,letra,0.787067,4
qwen2.5-1.5b,questao_88,2023,CH,0.528659,A,A,True,0.369812,letra,0.734051,4
qwen2.5-1.5b,questao_89,2023,CH,0.521464,D,D,True,0.893571,letra,0.833692,4
qwen2.5-1.5b,questao_90,2023,CH,0.449349,E,E,True,0.304639,letra,0.673157,4
qwen2.5-1.5b,questao_91,2023,CN,0.387897,C,C,True,0.510644,letra,0.489676,4
qwen2.5-1.5b,questao_93,2023,CN,0.58145,D,D,True,0.850811,letra,0.579667,4
qwen2.5-1.5b,questao_94,2023,CN,0.621239,C,A,False,0.317712,letra,0.702482,4
qwen2.5-1.5b,questao_96,2023,CN,0.852384,D,E,False,0.747685,letra,0.738913,4
qwen2.5-1.5b,questao_99,2023,CN,0.805323,D,E,False,0.378637,letra,0.686141,4
qwen2.5-1.5b,questao_102,2023,CN,0.833751,D,D,True,0.480354,letra,0.685806,4
qwen2.5-1.5b,questao_103,2023,CN,0.731422,C,B,False,0.24648,letra,0.655893,4
qwen2.5-1.5b,questao_105,2023,CN,0.879598,C,D,False,0.341989,letra,0.453975,4
qwen2.5-1.5b,questao_106,2023,CN,0.812876,E,C,False,0.435652,letra,0.744144,4
qwen2.5-1.5b,questao_107,2023,CN,0.831149,E,C,False,0.263422,letra,0.422326,4
qwen2.5-1.5b,questao_110,2023,CN,0.854885,E,B,False,0.246178,letra,0.352182,4
qwen2.5-1.5b,questao_112,2023,CN,0.878915,D,A,False,0.454229,letra,0.728018,4
qwen2.5-1.5b,questao_115,2023,CN,0.882885,E,A,False,0.54894,letra,0.774209,4
qwen2.5-1.5b,questao_116,2023,CN,0.913599,E,A,False,0.247714,letra,0.42945,4
qwen2.5-1.5b,questao_117,2023,CN,0.667058,C,C,True,0.436315,letra,0.362905,4
qwen2.5-1.5b,questao_118,2023,CN,0.860651,E,D,False,0.380549,letra,0.451679,4
qwen2.5-1.5b,questao_119,2023,CN,0.855609,D,D,True,0.719291,letra,0.779958,4
qwen2.5-1.5b,questao_121,2023,CN,0.901016,E,A,False,0.315319,letra,0.229078,4
qwen2.5-1.5b,questao_122,2023,CN,0.825754,C,C,True,0.375116,letra,0.715617,4
qwen2.5-1.5b,questao_123,2023,CN,0.877746,D,D,True,0.774445,letra,0.858614,4
qwen2.5-1.5b,questao_124,2023,CN,0.820892,E,B,False,0.460063,letra,0.465219,4
qwen2.5-1.5b,questao_125,2023,CN,0.733376,E,E,True,0.52336,letra,0.680027,4
qwen2.5-1.5b,questao_126,2023,CN,0.780963,E,A,False,0.629522,letra,0.537944,4
qwen2.5-1.5b,questao_127,2023,CN,0.767268,E,B,False,0.402744,letra,0.45916,4
qwen2.5-1.5b,questao_128,2023,CN,0.9136,D,D,True,0.542288,letra,0.753741,4
qwen2.5-1.5b,questao_129,2023,CN,0.740181,E,C,False,0.227447,letra,0.432327,4
qwen2.5-1.5b,questao_130,2023,CN,0.536764,D,D,True,0.230994,letra,0.661343,4
qwen2.5-1.5b,questao_131,2023,CN,0.240586,B,B,True,0.81108,letra,0.826484,4
qwen2.5-1.5b,questao_132,2023,CN,0.581572,E,E,True,0.605911,letra,0.380006,4
qwen2.5-1.5b,questao_133,2023,CN,0.935482,E,A,False,0.562253,letra,0.777665,4
qwen2.5-1.5b,questao_134,2023,CN,0.894049,D,B,False,0.366819,letra,0.664522,4
qwen2.5-1.5b,questao_135,2023,CN,0.793486,D,D,True,0.241527,letra,0.683429,4
qwen2.5-1.5b,questao_137,2023,MT,0.861744,E,B,False,0.248326,letra,0.484985,4
qwen2.5-1.5b,questao_140,2023,MT,0.534637,E,E,True,0.353124,letra,0.705197,4
qwen2.5-1.5b,questao_145,2023,MT,0.702728,D,D,True,0.734371,letra,0.760999,4
qwen2.5-1.5b,questao_146,2023,MT,0.929381,B,A,False,0.362984,letra,0.704408,4
qwen2.5-1.5b,questao_149,2023,MT,0.67768,E,C,False,0.317848,letra,0.680191,4
qwen2.5-1.5b,questao_151,2023,MT,0.746541,C,C,True,0.354394,letra,0.678352,4
qwen2.5-1.5b,questao_152,2023,MT,0.948798,C,C,True,0.316971,letra,0.488805,4
qwen2.5-1.5b,questao_153,2023,MT,0.810185,E,A,False,0.298035,letra,0.66262,4
qwen2.5-1.5b,questao_155,2023,MT,0.524219,E,B,False,0.436179,letra,0.738801,4
qwen2.5-1.5b,questao_156,2023,MT,0.924466,E,A,False,0.205403,letra,0.481869,4
qwen2.5-1.5b,questao_158,2023,MT,0.935345,D,D,True,0.381874,letra,0.720302,4
qwen2.5-1.5b,questao_160,2023,MT,0.92799,E,D,False,0.305356,letra,0.714865,4
qwen2.5-1.5b,questao_161,2023,MT,0.781954,D,D,True,0.231491,letra,0.47685,4
qwen2.5-1.5b,questao_162,2023,MT,0.915299,E,A,False,0.51009,letra,0.741433,4
qwen2.5-1.5b,questao_163,2023,MT,0.79327,E,E,True,0.19611,letra,0.514236,4
qwen2.5-1.5b,questao_165,2023,MT,0.797089,E,E,True,0.516813,letra,0.722553,4
qwen2.5-1.5b,questao_166,2023,MT,0.918496,D,A,False,0.267314,letra,0.494143,4
qwen2.5-1.5b,questao_167,2023,MT,0.821436,C,B,False,0.277187,letra,0.673841,4
qwen2.5-1.5b,questao_171,2023,MT,0.852829,E,D,False,0.335591,letra,0.696579,4
qwen2.5-1.5b,questao_173,2023,MT,0.762311,E,C,False,0.465316,letra,0.774106,4
qwen2.5-1.5b,questao_174,2023,MT,0.874264,E,A,False,0.303969,letra,0.482658,4
qwen2.5-1.5b,questao_175,2023,MT,0.879221,D,D,True,0.288247,letra,0.678219,4
qwen2.5-1.5b,questao_178,2023,MT,0.823268,D,C,False,0.241945,letra,0.69229,4
qwen2.5-1.5b,questao_180,2023,MT,0.892053,E,B,False,0.356927,letra,0.702417,4
qwen2.5-1.5b,questao_01,2024,LC,0.692284,E,A,False,0.458719,letra,0.713267,4
qwen2.5-1.5b,questao_05,2024,LC,0.661637,E,A,False,0.553039,letra,0.734373,4
qwen2.5-1.5b,questao_06,2024,LC,0.834939,E,C,False,0.263616,letra,0.461729,4
qwen2.5-1.5b,questao_07,2024,LC,0.597911,E,B,False,0.328058,letra,0.446052,4
qwen2.5-1.5b,questao_08,2024,LC,0.578803,E,E,True,0.621277,letra,0.750874,4
qwen2.5-1.5b,questao_09,2024,LC,0.693618,E,D,False,0.282303,letra,0.652414,4
qwen2.5-1.5b,questao_10,2024,LC,0.509416,A,A,True,0.322747,letra,0.731032,4
qwen2.5-1.5b,questao_11,2024,LC,0.470009,D,D,True,0.662735,letra,0.823189,4
qwen2.5-1.5b,questao_13,2024,LC,0.51153,E,E,True,0.546783,letra,0.73861,4
qwen2.5-1.5b,questao_14,2024,LC,0.497638,B,B,True,0.412795,letra,0.743464,4
qwen2.5-1.5b,questao_15,2024,LC,0.403749,D,D,True,0.494258,letra,0.756977,4
qwen2.5-1.5b,questao_17,2024,LC,0.708273,B,B,True,0.372195,letra,0.661764,4
qwen2.5-1.5b,questao_19,2024,LC,0.774708,B,B,True,0.602662,letra,0.751417,4
qwen2.5-1.5b,questao_20,2024,LC,0.406479,D,B,False,0.753251,letra,0.769479,4
qwen2.5-1.5b,questao_21,2024,LC,0.677252,E,C,False,0.326979,letra,0.271658,4
qwen2.5-1.5b,questao_22,2024,LC,0.800214,D,E,False,0.327391,letra,0.261,4
qwen2.5-1.5b,questao_24,2024,LC,0.860324,E,C,False,0.219064,letra,0.405466,4
