id,ano,area,posicao,co_item,question,alternatives,label,IU,description,difficulty_score,has_irt,caderno_cor
questao_13,2022,LC,13,141210,"PALAVRA – As gramáticas classificam as palavras em substantivo, adjetivo, verbo, advérbio, conjunção, pronome, numeral, artigo e preposição. Os poetas classificam as palavras pela alma porque gostam de brincar com elas, e para brincar com elas é preciso ter intimidade primeiro. É a alma da palavra que define, explica, ofende ou elogia, se coloca entre o significante e o significado para dizer o que quer, dar sentimento às coisas, fazer sentido. A palavra nuvem chove. A palavra triste chora. A palavra sono dorme. A palavra tempo passa. A palavra fogo queima. A palavra faca corta. A palavra carro corre. A palavra “palavra” diz. O que quer. E nunca desdiz depois. As palavras têm corpo e alma, mas são diferentes das pessoas em vários pontos. As palavras dizem o que querem, está dito, e pronto. Esse texto, de Adriana Falcão, que simula um verbete para a palavra ""palavra"", constitui-se como um poema porque","[""tematiza o fazer poético, como em “Os poetas classificam as palavras pela alma”."", ""utiliza o recurso expressivo da metáfora, como em “As palavras têm corpo e alma”."", ""valoriza a gramática da língua, como em “substantivo, adjetivo, verbo, advérbio, conjunção”."", ""estabelece comparações, como em “As palavras têm corpo e alma, mas são diferentes das pessoas”."", ""apresenta informações pertinentes acerca do conceito de “palavra”, como em “As gramáticas classificam as palavras”.""]",B,False,,0.475136,True,VERDE
questao_14,2022,LC,14,16785,"Fim Fernanda Torres Morte lenta ao luso infame que inventou a calçada portuguesa. Maldito D. Manuel primeiro e sua corja de tenentes Eusébios. Quadrados de pedregulho irregular socados à mão. À mão! É claro que ia soltar, ninguém reparou que ia soltar? Branco, preto, branco, preto, as ondas do mar de Copacabana. De que me servem as ondas do mar de Copacabana? Me deem chão liso, sem protuberâncias calcárias. Mosaico estúpido. Mania de mosaico. Joga concreto em cima e aplaina. Buraco, cratera, pedra solta, bueiro-bomba. Depois dos setenta a vida se transforma numa interminável corrida de obstáculos. A queda é a maior ameaça para o idoso. “Idoso”, palavra odienta. Pior, só “terceira idade”. A queda separa a velhice da senilidade extrema. O tombo destrói a cadeia que liga a cabeça aos pés. Adeus, corpo. Em casa, vou de corrimão em corrimão, tateio móveis e paredes, e tomo banho sentado. Da poltrona para a janela, da janela para a cama, da cama para a poltrona, da poltrona para a janela. Olha aí, outra vez, a pedrinha traiçoeira atrás de me pegar. Um dia eu caio, hoje não. O recurso que caracteriza a organização estrutural desse texto é o(a)","[""justaposição de sequências verbais e nominais."", ""mudança de eventos resultante do jogo temporal."", ""uso de adjetivos qualificativos na descrição do cenário."", ""encadeamento semântico pelo uso de substantivos sinônimos."", ""inter-relação entre orações por elementos linguísticos lógicos.""]",A,False,,0.870277,True,VERDE
questao_15,2022,LC,15,96502,"Fragmentos da letra da canção Assentamento Chico Buarque Zanza daqui Zanza pra acolá Fim de feira, periferia afora A cidade não mora mais em mim Francisco, Serafim Vamos embora Ver o capim Ver o baobá Vamos ver a campina quando flora A piracema, rios contravim Binho, Bel, Bia, Quim Vamos embora Quando eu morrer Cansado de guerra Morro de bem Com a minha terra: Cana, caqui Inhame, abóbora Onde só vento se semeava outrora Amplidão, nação, sertão sem fim Ó Manuel, Miguilim Vamos embora Nesse texto, predomina a função poética da linguagem. Entretanto, a função emotiva pode ser identificada no verso:","[""“Zanza pra acolá”."", ""“Fim de feira, periferia afora”."", ""“A cidade não mora mais em mim”."", ""“Onde só vento se semeava outrora”."", ""“Ó Manuel, Miguilim”.""]",C,False,,0.373779,True,VERDE
questao_16,2022,LC,16,141410,[[placeholder]] A articulação entre os elementos verbais e os não verbais do texto tem como propósito desencadear a,"[""articulação entre os elementos verbais e os não verbais do texto tem como propósito desencadear a"", ""revisão de representações estereotipadas de gênero."", ""adoção de medidas preventivas de combate ao sexismo."", ""ratificação de comportamentos femininos e masculinos."", ""retomada de opiniões a respeito da diversidade dos papéis sociais.""]",B,True,"Descrição da imagem: Cartaz dividido verticalmente, que apresenta fotografias e textos. Do lado esquerdo, está a fotografia de uma mulher sentada ao volante de um carro e a mensagem: “Mulher ao volante, perigo constante”. O trecho “perigo constante” está riscado e, logo abaixo, está escrito “tem estrada para andar”. A fotografia da direita é do rosto de um homem com o desenho de uma lágrima logo abaixo de um olho. Ao lado do homem, a mensagem: “Os homens não choram”, com o desenho de um grande X sobre a palavra “não”.",0.550007,True,VERDE
questao_17,2022,LC,17,120626,"As línguas silenciadas do Brasil Para aprender a língua de seu povo, o professor Txaywa Pataxó, de 29 anos, precisou estudar os fatores que, por diversas vezes, quase provocaram a extinção da língua patxôhã. Mergulhou na história do Brasil e descobriu fatos violentos que dispersaram os pataxós, forçados a abandonar a própria língua para escapar da perseguição. “Os pataxós se espalharam, principalmente, depois do Fogo de 1951. Queimaram tudo e expulsaram a gente das nossas terras. Isso constrange o nosso povo até hoje”, conta Txaywa, estudante da Universidade Federal de Minas Gerais e professor na aldeia Barra Velha, região de Porto Seguro (BA). Mais de quatro décadas depois, membros da etnia retornaram ao antigo local e iniciaram um movimento de recuperação da língua patxôhã. Os filhos de Sameary Pataxó já são fluentes — e ela, que se mudou quando já era adulta para a aldeia, tenta aprender um pouco com eles. “É a nossa identidade. Você diz quem você é por meio da sua língua”, afirma a professora de ensino fundamental sobre a importância de restaurar a língua dos pataxós. O patxôhã está entre as línguas indígenas faladas no Brasil: o IBGE estimou 274 línguas no último censo. A publicação Povos indígenas no Brasil 2011/2016, do Instituto Socioambiental, calcula 160. Antes da chegada dos portugueses, elas totalizavam mais de mil. O movimento de recuperação da língua patxôhã assume um caráter identitário peculiar na medida em que","[""denuncia o processo de perseguição histórica sofrida pelos povos indígenas."", ""conjuga o ato de resistência étnica à preservação da memória cultural."", ""associa a preservação linguística ao campo da pesquisa acadêmica."", ""estimula o retorno de povos indígenas a suas terras de origem."", ""aumenta o número de línguas indígenas faladas no Brasil.""]",B,False,,0.710347,True,VERDE
questao_18,2022,LC,18,111929,"TEXTO 1 [[placeholder]] TEXTO 2 Nas ruas, na cidade e no parque Ninguém nunca prendeu o Delegado. O vaivém de rua em rua e sua longa vida são relembrados e recontados. Exemplo de sobrevivência, liderança, inteligência canina, desde pequenininho seu focinho negro e seus olhos delineados desenharam um mapa mental olfativo-visual de Lavras. Corria de quem precisava correr e se aproximava de quem não lhe faria mal, distinguia este daquele. Assim, tornou-se um cão comunitário. Nunca se soube por que escolheu a rua, talvez lhe tenham feito mal dentro de quatro paredes. Idoso, teve câncer e desapareceu. O querido foi procurado pela cidade inteira por duas protetoras, mas nunca encontrado. Os dois textos abordam a temática de animais de rua, porém, em relação ao Texto 1, o Texto 2","[""problematiza a necessidade de adoção de animais sem lar."", ""valida a troca afetiva entre os pets adotados e seus donos."", ""reforça a importância da campanha de adoção de animais."", ""exalta a natureza amigável de cães e de gatos."", ""promove a campanha de adoção de animais.""]",A,True,"Descrição da imagem: Cartaz que apresenta a fotografia de um cachorro e um gato abraçados e deitados no chão, ao lado de uma placa com o texto: “Adote um animal de rua”. Do lado direito do cartaz, em destaque, a seguinte mensagem: “Ei... me leve para sua casa!!! Décima quarta feira de adoção de cães e gatos”. Na parte inferior, uma caixa de texto informa: “Documentos obrigatórios para adoção: carteira de identidade, CPF, comprovante de residência” e, logo abaixo, um complemento: “E muito amor!!”.",0.820006,True,VERDE
questao_19,2022,LC,19,118120,"É ruivo? Tem olhos azuis? É homem ou mulher? Usa chapéu? Quem jogou Cara a Cara na infância sabe de cor o roteiro de perguntas para adivinhar quem é o personagem misterioso do seu oponente. Agora, o jogo está prestes a ganhar uma nova versão. A designer polonesa Zuzia Kozerska-Girard está desenvolvendo uma variação do Guess Who? (nome do Cara a Cara em inglês), em que as personalidades do tabuleiro são, na verdade, mulheres notáveis da história e da atualidade, como a artista Frida Kahlo, a ativista Malala Yousafzai, a astronauta Valentina Tereshkova e a aviadora Amelia Earhart. O Who’s She? (“Quem é ela?”, em português) traz, no total, vinte e oito mulheres que representam diversas profissões, nacionalidades e idades. A ideia é que, em vez de perguntar sobre a aparência das personagens, as questões sejam direcionadas aos feitos delas: ganhou algum Nobel, fez alguma descoberta? Para cada personagem há um cartão com fatos divertidos e interessantes sobre sua vida. Uma campanha entrou no ar com o objetivo de arrecadar dinheiro para desenvolver o Who’s She?. A meta inicial era reunir dezessete mil dólares. Oito dias antes de a campanha acabar, o projeto já angariou quase trezentos e cinquenta mil dólares. A chegada do jogo à casa do comprador varia de acordo com a quantia doada — quanto mais você doou, mais rápido vai poder jogar. Ao divulgar a adaptação do jogo para questões relativas a ações e habilidades de mulheres notáveis, o texto busca","[""contribuir para a formação cidadã dos jogadores."", ""refutar modelos estereotipados de beleza e elegância."", ""estimular a competitividade entre potenciais compradores."", ""exemplificar estratégias de arrecadação financeira pela internet."", ""desenvolver conhecimentos lúdicos específicos dos tempos atuais.""]",A,False,,0.897245,True,VERDE
questao_20,2022,LC,20,66576,"[[placeholder]] Para convencer o público-alvo sobre a necessidade de um trânsito mais seguro, essa peça publicitária apela para o(a)","[""sentimento de culpa provocado no condutor causador de acidentes."", ""dano psicológico causado nas vítimas da violência nas estradas."", ""importância do monitoramento do trânsito pelas autoridades competentes."", ""necessidade de punição a motoristas alcoolizados envolvidos em acidentes."", ""sofrimento decorrente da perda de entes queridos em acidentes automobilísticos.""]",A,True,"Descrição da imagem: Peça publicitária que apresenta duas imagens, uma ao lado da outra. A da esquerda é a fotografia de uma mulher que está cobrindo o rosto com as mãos. Sobre suas mãos está escrito: “Arrependimento”. A imagem da direita é uma via de asfalto onde está escrito: “Causar um acidente é algo que você leva para o resto da vida. Não beba se for dirigir.”. Abaixo, o logotipo do Detran do Espírito Santo.",0.322327,True,VERDE
questao_21,2022,LC,21,9678,"Urgência emocional Martha Medeiros Se tudo é para ontem, se a vida engata uma primeira e sai em disparada, se não há mais tempo para paradas estratégicas, caímos fatalmente no vício de querer que os amores sejam igualmente resolvidos num átimo de segundo. Temos pressa para ouvir “eu te amo”. Não vemos a hora de que fiquem estabelecidas as regras de convívio: somos namorados, ficantes, casados, amantes? Urgência emocional. Uma cilada. Associamos diversas palavras ao AMOR: paixão, romance, sexo, adrenalina, palpitação. Esquecemos, no entanto, da palavra que viabiliza esse sentimento: “paciência”. Amor sem paciência não vinga. Amor não pode ser mastigado e engolido com emergência, com fome desesperada. É uma refeição que pode durar uma vida. Nesse texto de opinião, as marcas linguísticas revelam uma situação distensa e de pouca formalidade, o que se evidencia pelo(a)","[""impessoalização ao longo do texto, como em: “se não há mais tempo”."", ""construção de uma atmosfera de urgência, em palavras como: “pressa”."", ""repetição de uma determinada estrutura sintática, como em: “Se tudo é para ontem”."", ""ênfase no emprego da hipérbole, como em: “uma refeição que pode durar uma vida”."", ""emprego de metáforas, como em: “a vida engata uma primeira e sai em disparada”.""]",E,False,,0.368188,True,VERDE
questao_22,2022,LC,22,141440,"O complexo de falar difícil O que importa realmente é que o(a) detentor(a) do notável saber jurídico saiba quando e como deve fazer uso desse português versão 2.0, até porque não tem necessidade de alguém entrar numa padaria de manhã com aquela cara de sono falando o seguinte: “Por obséquio, Vossa Senhoria teria a hipotética possibilidade de estabelecer com minha pessoa uma relação de compra e venda, mediante as imposições dos códigos Civil e do Consumidor, para que seja possível a obtenção de 10 pãezinhos em temperatura estável para que a relação pecuniária no valor de 5 reais seja plenamente legítima e capaz de saciar minha fome matinal?”. O problema é que temos uma cultura de valorizar quem demonstra ser inteligente ao invés de valorizar quem é. Pela nossa lógica, todo mundo que fala difícil tende a ser mais inteligente do que quem valoriza o simples, e 99,9 por cento das pessoas que estivessem na padaria iriam ficar boquiabertas se alguém fizesse uso das palavras que eu disse acima em plenas 7 da manhã em vez de dizer: “Bom dia! O senhor poderia me vender cinco reais de pão francês?”. Agora entramos na parte interessante: o que realmente é falar difícil? Simplesmente fazer uso de palavras que a maioria não faz ideia do que seja é um ato de falar difícil? Eu penso que não, mas é assim que muita gente age. Falar difícil é fazer uso do simples, mas com coerência e coesão, deixar tudo amarradinho gramaticalmente falando. Falar difícil pode fazer alguém parecer inteligente, mas não por muito tempo. É claro que em alguns momentos não temos como fugir do português rebuscado, do juridiquês propriamente dito, como no caso de documentos jurídicos, entre outros. Nesse artigo de opinião, ao fazer uso de uma fala rebuscada no exemplo da compra do pão, o autor evidencia a importância de(a)","[""se ter um notável saber jurídico."", ""valorização da inteligência do falante."", ""falar difícil para demonstrar inteligência."", ""coesão e da coerência em documentos jurídicos."", ""adequação da linguagem à situação de comunicação.""]",E,False,,0.533134,True,VERDE
questao_23,2022,LC,23,49544,"Ciente de que, no campo da criação, as inovações tecnológicas abrem amplo leque de possibilidades — ao permitir, e mesmo estimular, que o artista explore a fundo, em seu processo criativo, questões como a aleatoriedade, o acaso, a não linearidade e a hipermídia —, Leo Cunha comenta que, no que tange ao campo da divulgação, as alternativas são ainda mais evidentes: “Afinal, é imensa a capacidade de reprodução, multiplicação e compartilhamento das obras artísticas/culturais. Ao mesmo tempo, ganham dimensão os dilemas envolvidos com a questão da autoria, dos direitos autorais, da reprodução e intervenção não autorizadas, entre outras questões”. Já segundo a professora Yacy-Ara Froner, o uso de ferramentas tecnológicas não pode ser visto como um fim em si mesmo. Isso porque computadores, samplers, programas de imersão, internet e intranet, vídeo, televisão, rádio, GPD etc. são apenas suportes com os quais os artistas exercem sua imaginação. Segundo os autores citados no texto, a expansão de possibilidades no campo das manifestações artísticas promovida pela internet pode pôr em risco o(a)","[""sucesso dos artistas."", ""valorização dos suportes."", ""proteção da produção estética."", ""modo de distribuição de obras."", ""compartilhamento das obras artísticas.""]",C,False,,0.7611,True,VERDE
